"freq","issuerLabel"
"1","""Southern Company External Issuing CA 1"""
"1","""vps455019.ovh.net"""
"1","""Datahost s.r.o. CA"""
"1","""coljppp.myaccountppp.anglianwater.co.uk"""
"1","""selfsigned.cloudwaysapps.com"""
"1","""mecs-ca.cfp.coppellisd.com"""
"1","""Department of Environment Subordinate CA 02"""
"1","""GDCA TrustAUTH R4 OV SSL CA"""
"1","""vpn.lotterental.net"""
"1","""TCS-INDIASUBCA2"""
"1","""Trustwave Organization Validation CA, Level 2"""
"1","""thundersplash.com"""
"1","""91.240.23.99"""
"1","""d76x-kcw2.accessdomain.com"""
"1","""homepages1.notarnet.de.notarnet.de"""
"1","""worldwidehairhub.com"""
"1","""radio.toomedia.de"""
"1","""mabaworks.com"""
"1","""SG-6000"""
"1","""InCommon Server CA"""
"1","""concalaverasnet.actuallybetter.com"""
"1","""AUVIX RCA_256 (Root Certification Authority)"""
"1","""datechsys.com"""
"1","""Unitas-SRV-AZ-CA02-CA"""
"1","""southindiaretailsummit.com"""
"1","""*.insellerate.com"""
"1","""mma-SRV610VM77-CA"""
"1","""sparcdev.securegive.com"""
"1","""com-linweb067"""
"1","""stefanie.way2web.nl"""
"1","""Test2016-Toss"""
"1","""GDCA TrustAUTH R4 DV SSL CA"""
"1","""cert_CA"""
"1","""ecashmeup.com"""
"1","""vungtau-DC1-CA"""
"1","""supereasyltd.com"""
"1","""demodiplomat.unisoftbg.com"""
"1","""cibdev.safir.es"""
"1","""dev.mioto.vn"""
"1","""nginx"""
"1","""lime01.limedio.com"""
"1","""slingbrandinc.wanderwiser.com"""
"1","""tereambrosio.com"""
"1","""litetoday.khmer-lite.com"""
"1","""mail.ttd.hu"""
"1","""skyjewelsonline.com"""
"1","""mail.chorotega.hn"""
"1","""*."""
"1","""SSL Blindado EV 2"""
"1","""poczta.zspczarnkow.edu.pl"""
"1","""sei.cnpq.br"""
"1","""vps21076.inmotionhosting.com"""
"1","""CA sanita Veneto"""
"1","""Proxmox Virtual Environment"""
"1","""serbiosoc.org.rs"""
"1","""*.902.gr"""
"1","""swojtbtest2-DC01-CA"""
"1","""UniKoeln CA"""
"1","""p3-preview.runhosting.com"""
"1","""IntermediateCA_MALIFER.ERZIEHUNG.UNI-GIESSEN.DE_1"""
"1","""phaas.kr"""
"1","""Klampfer-Druck-UDKCA01-CA"""
"1","""Entrust Certification Authority - L1F"""
"1","""Tribunal Supremo de Elecciones - TRIBUNAL - TSECRC"""
"1","""mail.vapesworld.gr"""
"1","""server.valenteemnoticias.com"""
"1","""SSC GDL NH CA"""
"1","""sandbox.teamscoring.com"""
"1","""Capitaland"""
"1","""SCH SERVER Class 1 CA"""
"1","""licence.actual-systems.com"""
"1","""Fabian Peter Hammerle"""
"1","""ec2-52-77-238-117.ap-southeast-1.compute.amazonaws.com"""
"1","""GLOBALTRUST SERVER OV 1"""
"1","""dev-ask-msa.com"""
"1","""AC Certisign Multipla G5"""
"1","""lapatisseriegourmande.pgtoscano.odns.fr"""
"1","""micromaint.total.cm"""
"1","""verityCA"""
"1","""vps10013.lnx.vps.isx.net.nz"""
"1","""srv1"""
"1","""mail.buhalterijoscentras.lt"""
"1","""devcms.elcintl.com"""
"1","""synergy.ict.ru.ac.za"""
"1","""nuffood.com"""
"1","""Migros System CA 2"""
"1","""server1.birdshop.co.uk"""
"1","""rds.greenwoods.co.uk"""
"1","""ECOH2S-ISSCA01(1)"""
"1","""*.coin-traders.net"""
"1","""Tradeshift Root Certificate Authority"""
"1","""Equifax Secure Global eBusiness CA-1"""
"1","""Postbank Systems AG Produktion CA 01"""
"1","""Blue Coat Systems Hybrid Portal Intermediate CA"""
"1","""GFIGroup.com"""
"1","""rh.dedyn.io"""
"1","""FENL-MER1BCK010-CA"""
"1","""Minneapolis-CGM-L01-LDRV"""
"1","""scolotto"""
"1","""unitis-SBS01UNITIS-CA"""
"1","""RSA root CA for C1W-AMX01.shllc.local"""
"1","""ec2-52-34-105-88.us-west-2.compute.amazonaws.com"""
"1","""eKassir Group Enterprise PKI CA01"""
"1","""ip-172-31-1-183"""
"1","""SRG SSR C3 Machine CA 1"""
"1","""CNRS2-Standard"""
"1","""GlobalSign R8 Admin CA - SHA256 - G3"""
"1","""ParaSun Certificate Authority"""
"1","""EurobankSubCA-3"""
"1","""certificate"""
"1","""kmgovernance.gsb.or.th"""
"1","""portal.subsentio.com"""
"1","""ec2-18-221-212-162.us-east-2.compute.amazonaws.com"""
"1","""nui-very.ru"""
"1","""192.168.200.1"""
"1","""TBI-MAC-10-96-30-10.local"""
"1","""*.edd.fr"""
"1","""sundoor"""
"1","""Trusted Secure Certificate Authority DV"""
"1","""Fraport AG CA Serversicherheit 2009"""
"1","""Entidad Certificadora de RIOJASALUD"""
"1","""CRGT-CA"""
"1","""Snake Oil CA"""
"1","""Rayanmehr Root Authority"""
"1","""bankmayapada-CA"""
"1","""telewrkr-camb.lwolf.com"""
"1","""ESRS2CA"""
"1","""medicareguider.usamedicareadvisors.com"""
"1","""bbc-12.qlued.net"""
"1","""Nintendo Class 2 CA - G3"""
"1","""5.187.5.99"""
"1","""mattresssouq.com"""
"1","""Smailer.org RootCA"""
"1","""DU Enterprise CA 1"""
"1","""GDCA TrustAUTH R4 EV SSL CA"""
"1","""pfSense-58f1131e37b1c"""
"1","""fkoll.ronsoft.se"""
"1","""kis.com.gr"""
"1","""jsracs-JSRS29-CA"""
"1","""TUHH CA in DFN-PKI Global - G01"""
"1","""MM-NC1.home"""
"1","""PRD MasterCard 3DS1 Issuer Sub CA"""
"1","""FernUniversitaet in Hagen Global CA"""
"1","""matbull.com"""
"1","""mail.atlasmaritime.eu"""
"1","""websync.bluebombers.dvsport.com"""
"1","""GlobalSign Organization Validation CA"""
"1","""194.165.154.34"""
"1","""*.0pointer.net"""
"1","""Bitrix"""
"1","""ospreywmg-SERVER1-CA"""
"1","""*.platin.prokasshop.de"""
"1","""m2200.sgded.com"""
"1","""sensornetwork.ealp-net.duckdns.org"""
"1","""wawe.ee"""
"1","""JHMC-CA"""
"1","""Credit Agricole Bank Polska Enterprise CA"""
"1","""www.tbl.boots.com"""
"1","""portal.cloud-ro.com"""
"1","""esportesradicais.online"""
"1","""wdsmp.petrobras.com.br"""
"1","""domain-SBS2011-CA"""
"1","""redmine"""
"1","""TU Clausthal CA - G02"""
"1","""ssl.certificate"""
"1","""mywaterbottle.in"""
"1","""NSW-DEC-ISS-CA1"""
"1","""wlsstamping-WLSPDC16-CA"""
"1","""aiss.af"""
"1","""cryptotech-ltd.com"""
"1","""*.popawu.com"""
"1","""csntlstest.topl.com.au"""
"1","""SIGOV-CA"""
"1","""circinus.guanajuato.gob.mx"""
"1","""zimbra097-ind.megavelocity.net"""
"1","""Hewlett-Packard Virtual Rooms Certificate Authority"""
"1","""w3.lptms.u-psud.fr"""
"1","""bossdrapps"""
"1","""me.addny.org"""
"1","""zmldap1.kemenpar.go.id"""
"1","""alendelfabrics.com"""
"1","""raederfamilie-DC-01-CA-1"""
"1","""Bart Mulders"""
"1","""server3.wmd-ssd3.com"""
"1","""corp-CORECA02-CA"""
"1","""box2.optix-solutions.com"""
"1","""rocknrattle.ca"""
"1","""todaysconveyancer.co.uk"""
"1","""cloud276"""
"1","""Grandline Web CA"""
"1","""Reelgood Inc"""
"1","""vanderbiltglobal.safeconsolecloud.io"""
"1","""Clearswift"""
"1","""myetlhearwallet.mythervvallet.com"""
"1","""NO LIABILITY ACCEPTED - QMOP Test Root 2017-10-09"""
"1","""mylegendarydad.com"""
"1","""thriftexchange.couponingwebsite.com"""
"1","""www.applied-cryptography.com"""
"1","""websync.tigercats.dvsport.com"""
"1","""Kaspersky Lab Global CA G2"""
"1","""solid.intranet"""
"1","""TSG WebAdmin CA"""
"1","""CA ITSN 02"""
"1","""giftdealnow.com"""
"1","""GIP-CPS"""
"1","""UNIVERSITAET LEIPZIG CA"""
"1","""dev.newsroomly.com.au"""
"1","""Conceitual"""
"1","""cordatm.net"""
"1","""IntermediateCA_SERVERVINA.STS-CHILE.CL_1"""
"1","""69.146.233.58"""
"1","""denori.com"""
"1","""Pivotal"""
"1","""T-Online Hungary CA"""
"1","""Universitaetsklinikum Freiburg CA - G01"""
"1","""saivian.net"""
"1","""SUBCA06BCR"""
"1","""4002764318100036"""
"1","""mail.megware.com"""
"1","""ec2-34-201-134-49.compute-1.amazonaws.com"""
"1","""FortiWEB"""
"1","""Microsoft Update Secure Server CA 1"""
"1","""StormWall"""
"1","""*.closemania.com"""
"1","""ABB Issuing CA 8"""
"1","""47.88.223.62"""
"1","""idfsrvprapp05"""
"1","""O2"""
"1","""connesignCA"""
"1","""mail.chemicalpharm.com"""
"1","""Boeing Basic Assurance Software Issuing CA G3"""
"1","""p1-atksla.webhotelpro.fi"""
"1","""s166-62-92-119.secureserver.net"""
"1","""gd-urengoy-GDU-CA-001-CA"""
"1","""CA-NetScaler-Intermediate"""
"1","""Dormera Security Root CA 2"""
"1","""Filip Van Dyck"""
"1","""Vorwerk International Server PROD-AP-SOUTHEAST-2 CA"""
"1","""remote.vitahungary.hu"""
"1","""ckdn-int01.hitachi-ap.co.jp"""
"1","""undef"""
"1","""predictablr.com"""
"1","""wisesolenergy.com"""
"1","""galerievalentin.com"""
"1","""MAILSRV"""
"1","""trubaciorkestar.com"""
"1","""GibsonDunnCrutcherLLP"""
"1","""viam.com.ua"""
"1","""wineaway.com.au"""
"1","""stblogs.directv.com"""
"1","""ifd-demo-IFD-DC1-CA"""
"1","""mail.daehn.me"""
"1","""REMNUM"""
"1","""Natcon7 Intermediate Certificate Authority"""
"1","""WIN-AD86P1Q1921"""
"1","""puppa-pro.com"""
"1","""themorgue CA"""
"1","""ub-sk"""
"1","""www.asp4all.nl"""
"1","""UKH-PISCA02"""
"1","""MarriottSubCA1"""
"1","""emruat-758354-NGUATAD1-CA"""
"1","""TextSecure"""
"1","""QuoVadis PKIoverheid EV CA"""
"1","""optic1.spidermaker.com"""
"1","""Visa Information Delivery External CA"""
"1","""srvexchange2016"""
"1","""KEMP Technologies"""
"1","""IssuingCA-SCA01"""
"1","""Intevation TLS CA 2016"""
"1","""webCARES Issuing CA 2013"""
"1","""tkt-SBS2008-CA"""
"1","""hbz NRW CA - G02"""
"1","""gtiqos.com"""
"1","""UHH CA - G02"""
"1","""saarmesse-EVENTSRV-CA"""
"1","""KB Interni 3 CA"""
"1","""iDRAC6 default certificate"""
"1","""motes.se"""
"1","""dgvision.com.mx"""
"1","""sisalud.chubut.gov.ar"""
"1","""FRONTIER-CA"""
"1","""acer-S-EN-CA-CA"""
"1","""Jordan CA01"""
"1","""CA Pruebas ICM Desarrollo"""
"1","""secrevm.fiberlink.com"""
"1","""DARPA SubCA-1"""
"1","""Jeff"""
"1","""testpro.douane.gouv.fr"""
"1","""mail2.ftpmaster.hu"""
"1","""klarotecnologia.com.co"""
"1","""Remittance Hub Admin CA"""
"1","""Centrum Certyfikacji Urz\u0119du Miasta Krakowa"""
"1","""aria.projects.local"""
"1","""BankID SSL Root Certification Authority TEST"""
"1","""web.gzfda.gov.cn"""
"1","""tejaratsaz.com"""
"1","""192.168.1.1"""
"1","""WMSvc-YODA"""
"1","""mivozipip.sytes.net"""
"1","""zmail.ssp.df.gov.br"""
"1","""elgron.org"""
"1","""00:1C:7F:70:56:FA..jxrxiv"""
"1","""bwanalitics.teamwork.net"""
"1","""webcebir.com"""
"1","""droncanarias.fundacionciudaddepapel.org"""
"1","""adler-ADLERSRV-CA"""
"1","""ozero-DC01-CA"""
"1","""jaredtysak.com"""
"1","""screenshop.in"""
"1","""Univention Corporate Server Root CA (ID=egDCjswM)"""
"1","""owncloud.terralia-immobilier.fr"""
"1","""joel-bouchard-artist.ca"""
"1","""KordaMentha Issuing CA 1"""
"1","""www.auvieuxcampeur.fr"""
"1","""ec2-52-211-247-61.eu-west-1.compute.amazonaws.com"""
"1","""MPU IB"""
"1","""outofhouse.agency"""
"1","""10.88.100.3"""
"1","""3geng.com"""
"1","""coineer.m010c131.u013jp7480.info"""
"1","""Stormshield Network Security Products CA"""
"1","""89.140.26.106"""
"1","""BDC-CA"""
"1","""lptms.u-psud.fr"""
"1","""tsm.meibu.com"""
"1","""MYOB Issuing CA 1"""
"1","""98.175.132.92"""
"1","""SSLproject1"""
"1","""Test Gemalto CI Consumer v2"""
"1","""guardian.pelotas.ifsul.edu.br"""
"1","""dedebursa.yinedo.com"""
"1","""mureborn.ru"""
"1","""idrac-4K34842"""
"1","""remote.swanlea.towerhamlets.sch.uk"""
"1","""eu-pws-root-ca"""
"1","""AFNOAPPS LTMA CA-2"""
"1","""dm4.fastdomain.com"""
"1","""catti-webgalitt"""
"1","""admin@sentry.localdomain"""
"1","""ca-cert-01"""
"1","""radiof1.orlandohugo.com"""
"1","""192.168.168.168"""
"1","""BadSSL MITM Software Test"""
"1","""ip-172-31-20-38"""
"1","""72.167.41.12"""
"1","""Foregenix CA"""
"1","""ARKEMAWEB02"""
"1","""DDI Enterprise CA"""
"1","""idc.i-heart.co.kr"""
"1","""ra1.ty1.unics.ricoh.com"""
"1","""TC Intermediate"""
"1","""*.client.hqsolutions.ro"""
"1","""Roche Enterprise CA 1"""
"1","""fiberon.in"""
"1","""EconolinkRoot"""
"1","""getremotesupport.dattobackups.ca"""
"1","""BLAZEK-CA-16"""
"1","""cinwe.fr"""
"1","""bbc-11.qlued.net"""
"1","""WCCC -CA"""
"1","""(CERT) MULTICERT Certification Authority 002"""
"1","""Schlumberger Issuing CA1"""
"1","""kdc_ca"""
"1","""foodwise-cc.vodafone.ro"""
"1","""Moosend"""
"1","""villa72.com"""
"1","""gitlab.drobson.pl"""
"1","""billing.mtnbusiness.cm"""
"1","""SRCA"""
"1","""massurya.tk"""
"1","""LCloud-Issuing-SLCSICAV01-CA"""
"1","""EUNETIC - EuropeanSSL Extended Validation Server CA 2"""
"1","""ubuntu"""
"1","""groovenexus.forethought.in"""
"1","""dinpar.com.br"""
"1","""Beuth Hochschule Berlin CA"""
"1","""ip-172-30-4-222"""
"1","""aladdinsrugs.ca"""
"1","""dcode"""
"1","""Bank Islam Malaysia Berhad"""
"1","""Centene OFL SUBCA1"""
"1","""fraserlawyers.lttlrpltestsite2.com"""
"1","""qlik2.470claims.com-CA"""
"1","""golawenforcement.com"""
"1","""103.56.232.106"""
"1","""fwmgmt1..pbixd9"""
"1","""WISeKey CertifyID Advanced Services CA 4"""
"1","""nwcab.cf"""
"1","""DD"""
"1","""gratz23.at"""
"1","""bot.pinkd.moe"""
"1","""Beast"""
"1","""mygstrate.ca.guru"""
"1","""trio-tcs.com"""
"1","""NA"""
"1","""vijayaupitest.fssnet.co.in"""
"1","""USDA NITC Issuing CA"""
"1","""iZuf6ggladnrj1Z"""
"1","""helwe-cert"""
"1","""com-linweb093"""
"1","""Certifikacni Autorita QCM, s.r.o."""
"1","""mail.paktar.com.ar"""
"1","""example.com"""
"1","""inventario.metrotenerife.com"""
"1","""TWCA Secure Certification Authority"""
"1","""9mate.org"""
"1","""efn-web-srv08"""
"1","""QR-Oakton Support CA"""
"1","""Cyberoam Appliance CA_C35315472866"""
"1","""kbh-SBS2011-CA"""
"1","""treemendoustreecare.com.au"""
"1","""SFR AC BUREAUTIQUE"""
"1","""jdmgenetics.co.uk"""
"1","""munir-co.com"""
"1","""AC Camerfirma Express Corporate Server v3"""
"1","""ryandental.springfieldmedspa.com"""
"1","""*.*"""
"1","""Elanet"""
"1","""phone.acemetrix.com"""
"1","""ClCert1"""
"1","""MBIIS CA"""
"1","""qa1599.cover-all.com"""
"1","""EADS ecoSHA2CA1"""
"1","""igamingleads.com"""
"1","""Gebauer GmbH VPN CA"""
"1","""pki-qkey-issueca"""
"1","""Sachsen Global CA"""
"1","""Instituto de Informatica CA"""
"1","""Minist\u00c3\u00a8re de la Culture"""
"1","""PFM CA User Key"""
"1","""vps253779.ovh.net"""
"1","""centos-rpi3"""
"1","""WMSvc-WIN-9VCI5RDE18J"""
"1","""ecacrisis.eu"""
"1","""www.faa.mil.ar"""
"1","""BELLE2"""
"1","""HSBC Issuing CA02"""
"1","""pi-trenton-apps.piacton.com"""
"1","""cmatech-CMADC1-CA"""
"1","""mrez.ir"""
"1","""Wunderfund"""
"1","""arklys"""
"1","""Gandi Standard SSL CA"""
"1","""ASB-Security BV"""
"1","""Niagara4"""
"1","""ThinkingWeb1.extreme2.thinkingnet.com"""
"1","""server.com"""
"1","""Loomis Ent CA 01"""
"1","""Thomson Reuters External Services UAT CA"""
"1","""www.exotictours.co.uk"""
"1","""ctf-SRV-MAIN-CA"""
"1","""GISA-ICA1"""
"1","""fpcholland.org"""
"1","""dummyssl.ltd"""
"1","""Verizon Public SureServer CA G14-SHA1"""
"1","""UNIVERSITAETSmedizin. Mainz - CA - G01"""
"1","""blacklimo-ca.emenacsoft.net"""
"1","""FG621B3910600772"""
"1","""*.fulp.es"""
"1","""It's \""Hi-ho, Silver!\"""""
"1","""festivaltapdog.yokenbo.com"""
"1","""CrossCert Class 2 Server CA"""
"1","""portal.ggpuk.com"""
"1","""IKEA Issuing CA V3"""
"1","""Hochschule fuer Technik und Wirtschaft Berlin"""
"1","""caCertificate_3"""
"1","""GSM Association - RSP2 Root CI1"""
"1","""capandapre"""
"1","""andre.host"""
"1","""Echo Dnia"""
"1","""cl-t032-152cn"""
"1","""ip-172-31-18-80"""
"1","""PH Schwaebisch Gmuend CA"""
"1","""nuodefund-OA-AD01-CA"""
"1","""bossprodapps"""
"1","""ca.uat.nexishub.ag.gov.au"""
"1","""dev.egge.com"""
"1","""OT-Morpho"""
"1","""DeltadsEntCA"""
"1","""realtysolutions.stubbinsrealty.com"""
"1","""globalhimi.mtip.pro"""
"1","""PBXERIX"""
"1","""entrepreneurera.in"""
"1","""thawte Trial Secure Server CA - G2"""
"1","""Contacta Internet Authority"""
"1","""Lighttpd CA"""
"1","""marginrecovery.com"""
"1","""kv-DC1-CA"""
"1","""connect-test.entergy.com"""
"1","""apps"""
"1","""52.207.36.152"""
"1","""ns1.kartery.com"""
"1","""Smart Gate pro"""
"1","""lkxzzmpfhwghec34.myfritz.net"""
"1","""a-sign-SSL-05"""
"1","""replibit.com"""
"1","""p.lvtu.in"""
"1","""CPTMGMT..669vi8"""
"1","""WaveMark Test Root CA"""
"1","""gost"""
"1","""FDIC Test Issuing CA"""
"1","""cismet GmbH - cids server"""
"1","""webapps.grindrod.com"""
"1","""wg.espcasemanagement.com"""
"1","""Grupa TELEKOMUNIKACJA POLSKA"""
"1","""TWCA Global EVSSL Certification Authority"""
"1","""Vorwerk International Server PROD-EU-CENTRAL-1 CA"""
"1","""PP-20170905210909854.portal.ptc.io"""
"1","""blog.marshalls-portal.co.uk"""
"1","""winexch2010"""
"1","""INSIM Services CA2"""
"1","""USER"""
"1","""Kvikna Sales"""
"1","""radiology-uat.medicalanalytics.com"""
"1","""jornadasderechooviedo.tk"""
"1","""myprofile-pp.schneider-electric.com"""
"1","""test.tis.accenture.com"""
"1","""usg20_B0B2DCBE7950"""
"1","""COMODO SHA-2 Pro Series Secure Server CA"""
"1","""Certinomis Corporate G4"""
"1","""extendedintermediate.protectbuy.com"""
"1","""puskesmascilodong.com"""
"1","""Veranstaltungsforum F\u00fcrstenfeld"""
"1","""ubercarinsure.com.au"""
"1","""ecisnet260.ec-is.net"""
"1","""TAMUZ-Devices CA G2"""
"1","""UZI-register Server CA G21"""
"1","""ip-172-16-0-215.ap-southeast-2.compute.internal"""
"1","""arad.talahost.info"""
"1","""rpay.id"""
"1","""34.249.175.72"""
"1","""az-reactnix01"""
"1","""domain.com"""
"1","""COMODO High Assurance Secure Server CA"""
"1","""JDIB-JDIBDCO01-CA"""
"1","""sicknessdacreator.com"""
"1","""Gov-SSL CA"""
"1","""pfSense-581bdb9e1518f"""
"1","""dealersuzuki.co.uk"""
"1","""monitor.unicredit.ro"""
"1","""BankID SSL Root Certification Authority"""
"1","""keeneyephotoapp.net"""
"1","""mr-sharma.com"""
"1","""Go Daddy Root Certificate Authority - G2"""
"1","""MOL Issuer CA 2"""
"1","""webdb00.lws-hosting.com"""
"1","""lifesizevc.phsi.promedica.org"""
"1","""li1054-85.members.linode.com"""
"1","""Symantec Class 3 DSA EV SSL CA"""
"1","""innomarket.hu"""
"1","""Self-signed Carbon Black Enterprise Server HTTPS Certificate"""
"1","""UniCredit Subordinate Internal"""
"1","""broker-max.com"""
"1","""gw.platform-saga.com"""
"1","""frontrow.boholfood.com"""
"1","""zabiyaka.net"""
"1","""triosounds.com"""
"1","""Railoc Enterprise Root CA"""
"1","""ankurmedicals.com"""
"1","""global-world.co.uk"""
"1","""mail.sp-holding.ru"""
"1","""Certinomis - AA et Agents"""
"1","""4003549632100122"""
"1","""SWD Subordinate CA4"""
"1","""Personal"""
"1","""pbx.clickguard.org"""
"1","""moexad-DC1-CA"""
"1","""Pecas on Line"""
"1","""SCHAEFER-CA"""
"1","""Default SSL Certificate"""
"1","""*.salce.ch"""
"1","""ABB Issuing CA 6"""
"1","""helmig.gramex.dk"""
"1","""NetEDI-CA-CA"""
"1","""default FTUIIL"""
"1","""Bayerische SSL-CA-2016-01"""
"1","""p7299.phpnet.org"""
"1","""PRIMAVERABSS Root CA"""
"1","""Campus Berlin-Buch CA - G02"""
"1","""YaST Default CA (www)"""
"1","""mail.prakticomp.hu"""
"1","""CMA-CGI..mawpnw"""
"1","""Pinnacol Assurance Issuing CA"""
"1","""cryptocoinera.com"""
"1","""test.gavstech.com"""
"1","""Michael Bompani"""
"1","""server"""
"1","""mail.mxname.ru"""
"1","""dev.okasweb.com"""
"1","""vpn.mpcompany.ru"""
"1","""coolgadgets.amazonfurniturestore.com"""
"1","""Autorit\u00e9 de Certification Services Applicatifs"""
"1","""business-cover-uk.co.uk"""
"1","""bbc-03.qlued.net"""
"1","""Kubernetes Ingress Controller Fake Certificate"""
"1","""*.lavirginia.com.ar"""
"1","""rly-hq-smr01."""
"1","""Turris Emergency CA"""
"1","""incapsula.com"""
"1","""owncloud.artificialgenetics.es"""
"1","""amit"""
"1","""Renfe Operadora Aplicaciones CA"""
"1","""Cihaz Sertifikas\u0131 Hizmet Sa\u011flay\u0131c\u0131 - S\u00fcr\u00fcm 4"""
"1","""zimbra-ldap.cbncloud.local"""
"1","""www.pnbupi.com"""
"1","""snom technology AG SHA-256 CA"""
"1","""chkar.appaik.com"""
"1","""HSU CA - G01"""
"1","""BB"""
"1","""mail.regalado.com.ec"""
"1","""AutoCont CA2"""
"1","""pre-portafirmas.dival.es"""
"1","""vs-w2k12-eview"""
"1","""amacatech4"""
"1","""Virginia Tech Global Qualified Server CA"""
"1","""template-hc-web-fpm"""
"1","""SSL Titkos\u00edt\u00f3 Tan\u00fas\u00edtv\u00e1nykiad\u00f3 2014 - GOV CA"""
"1","""datadunya.com.tr"""
"1","""SwissSign Server Gold CA 2008 - G2"""
"1","""AC INFRASTRUCTURE ERDF"""
"1","""toppanleefung.com"""
"1","""TOTALBP-CA"""
"1","""Zone Root CA"""
"1","""PwC SSL Issuing - 1"""
"1","""testapica"""
"1","""B-Trust Operational CA AES"""
"1","""Heidelberger Druckmaschinen AG"""
"1","""desktop-qmhq8c1"""
"1","""DFN-CA Global"""
"1","""phongkhamdakhoabaylor.phongkham.com"""
"1","""axisfuture.com"""
"1","""qbriq.com"""
"1","""Uni Regensburg CA - G01"""
"1","""vreugdnet-DC2-CA"""
"1","""security.inc WebAdmin CA"""
"1","""naka.ninja"""
"1","""aia.com.pe"""
"1","""sitederencontreserieux.fr.v36828.hostde12.fornex.org"""
"1","""PSASG-WIN1NWSVC1-CA"""
"1","""RaabIT-CA"""
"1","""nvc.fortiddns.com"""
"1","""SRV-KM-2017-CA"""
"1","""GRS CA"""
"1","""www.esaraha.net"""
"1","""tsecurity.ir"""
"1","""Colgate Palmolive Corporate Issuing CA3"""
"1","""GlobalSign Organization Validation CAT - G2"""
"1","""spb-010.corp.muranosoft.com"""
"1","""SWIETELSKY-SUBCA001"""
"1","""default CNPVRV"""
"1","""*.ico.sx"""
"1","""mtsa"""
"1","""communigate.com"""
"1","""sip.defesa.gov.br"""
"1","""vmbg-tw.sagehospitality.com"""
"1","""cahttpsserverscrx"""
"1","""forexgroupltd.com"""
"1","""laurentius.nl"""
"1","""*.cdngp.net"""
"1","""getcashadvancenowhere.com"""
"1","""lobbybook.com"""
"1","""S-WEB-WEB"""
"1","""Orange Internal G2 Server CA"""
"1","""intranet-AD6-CA"""
"1","""BadSSL Intermediate Certificate Authority"""
"1","""COTTAGE-ROOT-CA"""
"1","""connect.stjarnurmakarna.se"""
"1","""MI-TAR-DMSLISPA.lispa.it.xbaech"""
"1","""mail.hospitalsaludintegral.com.ni"""
"1","""afamb.com.br"""
"1","""AH_CA_tentscepo01"""
"1","""kartprofit.com"""
"1","""mail.tomskoil.ru"""
"1","""novaventa"""
"1","""vk1"""
"1","""Trial SSL Japan CA - G2"""
"1","""*.iaqa.local"""
"1","""home.maikhaesner.de"""
"1","""bitrobot.me"""
"1","""KEGOC BEMS Root CA"""
"1","""movierulz.ms"""
"1","""Kssion Basic SSL CA - G1"""
"1","""crm.u.com.my"""
"1","""twosigma.e-dapt.com"""
"1","""LordOfMoria.com"""
"1","""ras.pplex.ch"""
"1","""ssl.exekutorskyurad.eu"""
"1","""internal-ca"""
"1","""e-mon Primary CA"""
"1","""Stantec Issuing CA 1"""
"1","""www.kavosz.hu"""
"1","""roofsni.acupuncture-hq.com"""
"1","""phiStat Intermediate CA"""
"1","""HBi Dev Environments (IMCA)"""
"1","""ip-10-235-56-134"""
"1","""EC2AMAZ-P4QE70V"""
"1","""lmengservicesuat.haeco.com"""
"1","""warrant.tp-link.us"""
"1","""AC SecurSante RAMQ PARTE"""
"1","""Correo Uruguayo - CA"""
"1","""auralis CA"""
"1","""185.43.220.31"""
"1","""slgk691.piensasolutions.com"""
"1","""shfe"""
"1","""SCHUFA Holding AG - Zertifizierungsstelle Rechenzentrum"""
"1","""chef.chdev.com.ua"""
"1","""JSTAT-COM-CA"""
"1","""imp-app21"""
"1","""CLDILBIZAPP01.cloudapp.net"""
"1","""CIMBTHAI CA"""
"1","""id28183"""
"1","""suplementos.coach"""
"1","""VHS-Ostalb-SBS2008-CA"""
"1","""AC Prod Authentification Ordinateurs"""
"1","""itoppsca"""
"1","""fdv solutions"""
"1","""investcrown.azuld.com"""
"1","""bubbelskum.com"""
"1","""extranet-EXTRA-CA-01-CA"""
"1","""BASW-CONNECT.basw.local"""
"1","""dlo.veritas.com"""
"1","""RSA root CA for cpamsd1.chadbourne.com"""
"1","""toolkit.cucbc.com"""
"1","""vps399855.ovh.net"""
"1","""Red Hat Entitlement Operations Authority"""
"1","""Platforma nc+"""
"1","""wiccert.com"""
"1","""ip-172-31-59-108"""
"1","""giangvo"""
"1","""turtleeggs.m010c207.u011jp8022.info"""
"1","""ChurNet Issuing CA 2"""
"1","""ks209986.kimsufi.com"""
"1","""Uni Duesseldorf CA-G01"""
"1","""HARTMANN GROUP Issuing CA 01"""
"1","""WMSvc-497017-APP1"""
"1","""*.dynamic.hivecdn.com"""
"1","""www.mauter.com"""
"1","""ZIB-CA"""
"1","""coveysys.com"""
"1","""Capax Cloud Cloud Services (NTAPDMZ) CA - 01"""
"1","""violator.dyndns.biz"""
"1","""Shrenik"""
"1","""WMSvc-C01APP001"""
"1","""allicatdbdev.ipc.com"""
"1","""mail.homabay.go.ke"""
"1","""Edrana"""
"1","""www.dip-caceres.es"""
"1","""CITRIX-CA"""
"1","""AC PRODEMGE G3"""
"1","""mail.behpardakht.com"""
"1","""cgn.cheeseburg.de"""
"1","""SHAFT"""
"1","""lnp6.fxservices.uat.markit.com"""
"1","""42"""
"1","""kansascityflowersdelivery.com"""
"1","""usdpay.net"""
